g.name,gs.name,v.id
IRF7,M_DC_plasmacytoid_positive,v_hs47b
IL3RA,M_DC_plasmacytoid_positive,v_hs47b
TCF4,M_DC_plasmacytoid_positive,v_hs47b
IRF8,M_DC_plasmacytoid_positive,v_hs47b
LILRB4,M_DC_plasmacytoid_positive,v_hs47b
FCER1A,M_DC_plasmacytoid_positive,v_hs47b
LILRA4,M_DC_plasmacytoid_positive,v_hs47b
TNFRSF21,M_DC_plasmacytoid_positive,v_hs47b
CD33,M_DC_cDC2_positive,v_hs49b
ID2,M_DC_cDC2_positive,v_hs49b
CD2,M_DC_cDC2_positive,v_hs49b
LILRA2,M_DC_cDC2_positive,v_hs49b
IL23A,M_DC_cDC2_positive,v_hs49b
CLEC10A,M_DC_cDC2_positive,v_hs49b
IRF4,M_DC_cDC2_positive,v_hs49b
FCER1G,M_DC_cDC2_positive,v_hs49b
CD1C,M_DC_cDC2_positive,v_hs49b
FCER1A,M_DC_cDC2_positive,v_hs49b
KLF4,M_DC_cDC2_positive,v_hs49b
NOTCH2,M_DC_cDC2_positive,v_hs49b
ITGAM,M_DC_cDC2_positive,v_hs49b
ITGAX,M_DC_cDC2_positive,v_hs49b
CLEC4A,M_DC_cDC2_positive,v_hs49b
TGFB2,M_DC_cDC2_positive,v_hs49b
ZEB2,M_DC_cDC2_positive,v_hs49b
TGFB1,M_DC_cDC2_positive,v_hs49b
TNFSF10,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL1RL1,TNK_IL2_STAT5_signaling_positive,v_hs88b
TNFRSF4,TNK_IL2_STAT5_signaling_positive,v_hs88b
GABARAPL1,TNK_IL2_STAT5_signaling_positive,v_hs88b
CCND3,TNK_IL2_STAT5_signaling_positive,v_hs88b
NT5E,TNK_IL2_STAT5_signaling_positive,v_hs88b
ADAM19,TNK_IL2_STAT5_signaling_positive,v_hs88b
GPR83,TNK_IL2_STAT5_signaling_positive,v_hs88b
PLPP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
EMP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
PDCD2L,TNK_IL2_STAT5_signaling_positive,v_hs88b
CISH,TNK_IL2_STAT5_signaling_positive,v_hs88b
NFKBIZ,TNK_IL2_STAT5_signaling_positive,v_hs88b
EEF1AKMT1,TNK_IL2_STAT5_signaling_positive,v_hs88b
PLEC,TNK_IL2_STAT5_signaling_positive,v_hs88b
CKAP4,TNK_IL2_STAT5_signaling_positive,v_hs88b
FGL2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CTSZ,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL2RA,TNK_IL2_STAT5_signaling_positive,v_hs88b
SPRED2,TNK_IL2_STAT5_signaling_positive,v_hs88b
MYC,TNK_IL2_STAT5_signaling_positive,v_hs88b
AHNAK,TNK_IL2_STAT5_signaling_positive,v_hs88b
POU2F1,TNK_IL2_STAT5_signaling_positive,v_hs88b
MAP3K8,TNK_IL2_STAT5_signaling_positive,v_hs88b
MUC1,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL10,TNK_IL2_STAT5_signaling_positive,v_hs88b
NFIL3,TNK_IL2_STAT5_signaling_positive,v_hs88b
DENND5A,TNK_IL2_STAT5_signaling_positive,v_hs88b
PRNP,TNK_IL2_STAT5_signaling_positive,v_hs88b
AHR,TNK_IL2_STAT5_signaling_positive,v_hs88b
CD83,TNK_IL2_STAT5_signaling_positive,v_hs88b
IKZF2,TNK_IL2_STAT5_signaling_positive,v_hs88b
NRP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
CCR4,TNK_IL2_STAT5_signaling_positive,v_hs88b
UCK2,TNK_IL2_STAT5_signaling_positive,v_hs88b
S100A1,TNK_IL2_STAT5_signaling_positive,v_hs88b
CAPN3,TNK_IL2_STAT5_signaling_positive,v_hs88b
GSTO1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SLC39A8,TNK_IL2_STAT5_signaling_positive,v_hs88b
GUCY1B1,TNK_IL2_STAT5_signaling_positive,v_hs88b
DCPS,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL3RA,TNK_IL2_STAT5_signaling_positive,v_hs88b
ITGAV,TNK_IL2_STAT5_signaling_positive,v_hs88b
SELL,TNK_IL2_STAT5_signaling_positive,v_hs88b
MAFF,TNK_IL2_STAT5_signaling_positive,v_hs88b
NDRG1,TNK_IL2_STAT5_signaling_positive,v_hs88b
P4HA1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SOCS2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CD44,TNK_IL2_STAT5_signaling_positive,v_hs88b
SPRY4,TNK_IL2_STAT5_signaling_positive,v_hs88b
KLF6,TNK_IL2_STAT5_signaling_positive,v_hs88b
AGER,TNK_IL2_STAT5_signaling_positive,v_hs88b
ICOS,TNK_IL2_STAT5_signaling_positive,v_hs88b
XBP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SLC2A3,TNK_IL2_STAT5_signaling_positive,v_hs88b
MYO1C,TNK_IL2_STAT5_signaling_positive,v_hs88b
GLIPR2,TNK_IL2_STAT5_signaling_positive,v_hs88b
GPR65,TNK_IL2_STAT5_signaling_positive,v_hs88b
CASP3,TNK_IL2_STAT5_signaling_positive,v_hs88b
CD48,TNK_IL2_STAT5_signaling_positive,v_hs88b
DRC1,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL10RA,TNK_IL2_STAT5_signaling_positive,v_hs88b
BCL2,TNK_IL2_STAT5_signaling_positive,v_hs88b
LRRC8C,TNK_IL2_STAT5_signaling_positive,v_hs88b
HOPX,TNK_IL2_STAT5_signaling_positive,v_hs88b
APLP1,TNK_IL2_STAT5_signaling_positive,v_hs88b
MXD1,TNK_IL2_STAT5_signaling_positive,v_hs88b
CDKN1C,TNK_IL2_STAT5_signaling_positive,v_hs88b
BMP2,TNK_IL2_STAT5_signaling_positive,v_hs88b
CCNE1,TNK_IL2_STAT5_signaling_positive,v_hs88b
ETFBKMT,TNK_IL2_STAT5_signaling_positive,v_hs88b
HIPK2,TNK_IL2_STAT5_signaling_positive,v_hs88b
GALM,TNK_IL2_STAT5_signaling_positive,v_hs88b
IL1R2,TNK_IL2_STAT5_signaling_positive,v_hs88b
GBP4,TNK_IL2_STAT5_signaling_positive,v_hs88b
SWAP70,TNK_IL2_STAT5_signaling_positive,v_hs88b
CDC6,TNK_IL2_STAT5_signaling_positive,v_hs88b
CD86,TNK_IL2_STAT5_signaling_positive,v_hs88b
IKZF4,TNK_IL2_STAT5_signaling_positive,v_hs88b
SERPINC1,TNK_IL2_STAT5_signaling_positive,v_hs88b
RHOB,TNK_IL2_STAT5_signaling_positive,v_hs88b
PRAF2,TNK_IL2_STAT5_signaling_positive,v_hs88b
BMPR2,TNK_IL2_STAT5_signaling_positive,v_hs88b
PUS1,TNK_IL2_STAT5_signaling_positive,v_hs88b
WLS,TNK_IL2_STAT5_signaling_positive,v_hs88b
TLR7,TNK_IL2_STAT5_signaling_positive,v_hs88b
GATA1,TNK_IL2_STAT5_signaling_positive,v_hs88b
SH3BGRL2,TNK_IL2_STAT5_signaling_positive,v_hs88b
IGF2R,TNK_IL2_STAT5_signaling_positive,v_hs88b
FAM126B,TNK_IL2_STAT5_signaling_positive,v_hs88b
F2RL2,TNK_IL2_STAT5_signaling_positive,v_hs88b
SMPDL3A,TNK_IL2_STAT5_signaling_positive,v_hs88b
IRF6,TNK_IL2_STAT5_signaling_positive,v_hs88b
